Security,Maturity,Coupon,YTM,Price,ModDur,Convexity
Tbill,1,0.00000,0.05810,94.434,0.97,1.417
Tnote,2,0.06250,0.06180,100.13,1.85,4.426
Tnote,3,0.06375,0.06340,100.094,2.69,8.895
Tnote,5,0.06625,0.06560,100.273,4.2,21.278
Tnote,10,0.07000,0.06790,101.507,7.14,64.694
Tbond,30,0.06000,0.06970,87.865,12.84,264.667
